city,pop_2018_est,place,city_y,area_land,place_type,pop_density,mh_spaces
Squirrel Mountain Valley,1159,73815,Squirrel Mountain Valley,1.8,Squirrel Mountain Valley CDP,643.89,
Weedpatch,2238,83863,Weedpatch,3.56,Weedpatch CDP,628.65,
Mira Monte,6912,48046,Mira Monte,4.57,Mira Monte CDP,1512.47,
Oxnard,207568,54652,Oxnard,26.95,Oxnard city,7701.97,2787.0
Black Point-Green Point,1655,06982,Black Point-Green Point,2.83,Black Point-Green Point CDP,584.81,
Lucas Valley-Marinwood,6841,44399,Lucas Valley-Marinwood,5.73,Lucas Valley-Marinwood CDP,1193.89,
Ross,2309,62980,Ross,1.56,Ross town,1480.13,
San Geronimo,466,67070,San Geronimo,1.51,San Geronimo CDP,308.61,
Tamalpais-Homestead Valley,11261,77805,Tamalpais-Homestead Valley,4.69,Tamalpais-Homestead Valley CDP,2401.07,
Woodacre,1303,86216,Woodacre,1.8,Woodacre CDP,723.89,
Grass Valley,12932,30798,Grass Valley,5.25,Grass Valley city,2463.24,1272.0
Penn Valley,1424,56518,Penn Valley,2.12,Penn Valley CDP,671.7,161.0
Greenville,1108,31162,Greenville,7.99,Greenville CDP,138.67,62.0
Lake Almanor Peninsula,416,39420,Lake Almanor Peninsula,3.04,Lake Almanor Peninsula CDP,136.84,
Taylorsville,244,78008,Taylorsville,3.25,Taylorsville CDP,75.08,39.0
Tobin,0,78792,Tobin,5.03,Tobin CDP,0.0,
Planada,4418,57582,Planada,1.58,Planada CDP,2796.2,
Winton,11761,86076,Winton,3.04,Winton CDP,3868.75,119.0
Broadmoor,5286,08338,Broadmoor,0.45,Broadmoor CDP,11746.67,
Moraga,17398,49187,Moraga,9.46,Moraga town,1839.11,
Foster City,33784,25338,Foster City,3.8,Foster City city,8890.53,
Highlands-Baywood Park,4564,33633,Highlands-Baywood Park,1.81,Highlands-Baywood Park CDP,2521.55,
Hillsborough,11439,33798,Hillsborough,6.19,Hillsborough town,1847.98,
North Fair Oaks,14547,51840,North Fair Oaks,1.2,North Fair Oaks CDP,12122.5,
Johannesburg,138,37400,Johannesburg,2.41,Johannesburg CDP,57.26,
Mojave,4230,48452,Mojave,58.29,Mojave CDP,72.57,242.0
Oildale,34723,53448,Oildale,6.53,Oildale CDP,5317.46,
Rosedale,16737,62854,Rosedale,29.27,Rosedale CDP,571.81,
Coachella,44849,14260,Coachella,30.08,Coachella city,1490.99,362.0
Linden,1790,41670,Linden,7.41,Linden CDP,241.57,
Cherry Valley,7755,12916,Cherry Valley,8.02,Cherry Valley CDP,966.96,278.0
Lakeland Village,13170,39598,Lakeland Village,8.78,Lakeland Village CDP,1500.0,
Lakeview,2566,39836,Lakeview,3.26,Lakeview CDP,787.12,
Mecca,7174,46660,Mecca,6.96,Mecca CDP,1030.75,59.0
Moreno Valley,205034,49270,Moreno Valley,51.27,Moreno Valley city,3999.1,872.0
Nuevo,7033,52624,Nuevo,6.77,Nuevo CDP,1038.85,
Wallace,1063,83304,Wallace,4.34,Wallace CDP,244.93,
Adelanto,33416,00296,Adelanto,52.91,Adelanto city,631.56,257.0
Bloomington,21783,07064,Bloomington,6.07,Bloomington CDP,3588.63,496.0
Needles,4962,50734,Needles,30.58,Needles city,162.26,586.0
Paradise,186,55528,Paradise,4.35,Paradise CDP,42.76,1586.0
Paradise Park,543,55604,Paradise Park,0.28,Paradise Park CDP,1939.29,
Parklawn,1082,55728,Parklawn,0.17,Parklawn CDP,6364.71,
Parkway,15885,55800,Parkway,2.4,Parkway CDP,6618.75,
Pasatiempo,1018,56028,Pasatiempo,0.88,Pasatiempo CDP,1156.82,
Paskenta,105,56042,Paskenta,1.08,Paskenta CDP,97.22,
Patterson Tract,2351,56120,Patterson Tract,1.45,Patterson Tract CDP,1621.38,
Patton Village,604,56140,Patton Village,3.32,Patton Village CDP,181.93,
Paynes Creek,53,56196,Paynes Creek,3.43,Paynes Creek CDP,15.45,
Penngrove,2961,56476,Penngrove,4.02,Penngrove CDP,736.57,34.0
Penryn,925,56546,Penryn,1.83,Penryn CDP,505.46,
Pescadero,226,56756,Pescadero,4.03,Pescadero CDP,56.08,
Peters,604,56798,Peters,2.53,Peters CDP,238.74,
Phelan,15532,56826,Phelan,60.1,Phelan CDP,258.44,60.0
Phillipsville,72,56854,Phillipsville,0.71,Phillipsville CDP,101.41,24.0
Philo,201,56868,Philo,2.05,Philo CDP,98.05,9.0
Phoenix Lake,4283,56870,Phoenix Lake,11.01,Phoenix Lake CDP,389.01,
Pierpoint,0,57011,Pierpoint,0.41,Pierpoint CDP,0.0,
Pike,167,57036,Pike,4.32,Pike CDP,38.66,
Pine Canyon,2294,57070,Pine Canyon,3.34,Pine Canyon CDP,686.83,
Pine Flat,149,57134,Pine Flat,1.16,Pine Flat CDP,128.45,
Pine Grove,1730,57148,Pine Grove,6.97,Pine Grove CDP,248.21,135.0
Pine Mountain Lake,2671,57244,Pine Mountain Lake,18.97,Pine Mountain Lake CDP,140.8,
Piñon Hills,7592,57302,Piñon Hills,32.12,Piñon Hills CDP,236.36,
Pioneer,1443,57330,Pioneer,4.31,Pioneer CDP,334.8,186.0
Plainview,863,57568,Plainview,0.31,Plainview CDP,2783.87,
Plumas Lake,7367,57829,Plumas Lake,8.39,Plumas Lake CDP,878.07,
Ponderosa,0,58134,Ponderosa,0.81,Ponderosa CDP,0.0,
Posey,0,58422,Posey,0.36,Posey CDP,0.0,
Poso Park,2,58436,Poso Park,0.04,Poso Park CDP,50.0,
Potrero,625,58478,Potrero,3.15,Potrero CDP,198.41,54.0
